condition,seed,max_rotation_deg,test_acc,test_macro_f1,best_val_acc
baseline,1,0.0,0.5916061339790153,0.5831568632615894,0.6882352941176471
baseline,2,0.0,0.6004842615012107,0.5942553014293354,0.6647058823529411
baseline,3,0.0,0.6037126715092817,0.5946472155983112,0.6617647058823529
baseline,4,0.0,0.5972558514931396,0.5932327259249816,0.6647058823529411
baseline,5,0.0,0.5932203389830508,0.5834575747551429,0.6764705882352942
baseline,6,0.0,0.6206618240516546,0.6066102073448697,0.6794117647058824
baseline,7,0.0,0.5932203389830508,0.5884969671063116,0.6617647058823529
baseline,8,0.0,0.5899919289749799,0.5772897858559198,0.6911764705882353
baseline,9,0.0,0.5932203389830508,0.5829348287788326,0.6970588235294117
baseline,10,0.0,0.606133979015335,0.597053492576916,0.6970588235294117
baseline,11,0.0,0.5988700564971752,0.5922628339087253,0.6617647058823529
baseline,12,0.0,0.585956416464891,0.5789794815622796,0.6441176470588236
baseline,13,0.0,0.5875706214689266,0.57909334636475,0.6735294117647059
baseline,14,0.0,0.5907990314769975,0.5817924877446885,0.6647058823529411
baseline,15,0.0,0.5899919289749799,0.5780002333230447,0.65
baseline,16,0.0,0.6029055690072639,0.592370834204201,0.6470588235294118
baseline,17,0.0,0.5899919289749799,0.5841280665486223,0.6794117647058824
baseline,18,0.0,0.5964487489911219,0.5899001880536536,0.6411764705882353
baseline,19,0.0,0.5835351089588378,0.5771289295852102,0.6617647058823529
baseline,20,0.0,0.5964487489911219,0.5880021862636011,0.6764705882352942
baseline,21,0.0,0.5980629539951574,0.5917082844191532,0.6529411764705882
baseline,22,0.0,0.6085552865213882,0.5980462711596689,0.6852941176470588
baseline,23,0.0,0.6142050040355125,0.6055903748007516,0.6823529411764706
baseline,24,0.0,0.609362389023406,0.6025477728467752,0.6705882352941176
baseline,25,0.0,0.5940274414850686,0.5872925445138327,0.7
baseline,26,0.0,0.6045197740112994,0.5943618705197848,0.6764705882352942
baseline,27,0.0,0.6012913640032284,0.5919833213269198,0.6558823529411765
baseline,28,0.0,0.5964487489911219,0.5851459698531555,0.6676470588235294
baseline,29,0.0,0.6045197740112994,0.5958690403065848,0.6735294117647059
baseline,30,0.0,0.5956416464891041,0.5912335501616746,0.6882352941176471
baseline,31,0.0,0.6133979015334947,0.6041644988064898,0.6764705882352942
baseline,32,0.0,0.5956416464891041,0.5861965400400034,0.6529411764705882
baseline,33,0.0,0.5891848264729621,0.5756791207474549,0.6823529411764706
baseline,34,0.0,0.6045197740112994,0.5956568071236761,0.6529411764705882
baseline,35,0.0,0.6020984665052461,0.5938352372874792,0.6735294117647059
baseline,36,0.0,0.5835351089588378,0.5752900204626029,0.6852941176470588
baseline,37,0.0,0.6085552865213882,0.5966204618613001,0.6911764705882353
baseline,38,0.0,0.5883777239709443,0.5810954856961691,0.6764705882352942
baseline,39,0.0,0.5956416464891041,0.5852092920120952,0.6558823529411765
baseline,40,0.0,0.5932203389830508,0.5835898229876197,0.6588235294117647
baseline,41,0.0,0.5916061339790153,0.5824012456111585,0.6558823529411765
baseline,42,0.0,0.5891848264729621,0.582288821850711,0.6970588235294117
baseline,43,0.0,0.6045197740112994,0.594036240178177,0.6588235294117647
baseline,44,0.0,0.5851493139628733,0.5729493884348147,0.6617647058823529
baseline,45,0.0,0.5916061339790153,0.5864423336048517,0.6705882352941176
rot05,1,5.0,0.5964487489911219,0.5866675348475551,0.6794117647058824
rot05,2,5.0,0.6077481840193705,0.6016919198971882,0.6852941176470588
rot05,3,5.0,0.6069410815173527,0.5995048340233702,0.6794117647058824
rot05,4,5.0,0.6182405165456013,0.6122752179474378,0.6911764705882353
rot05,5,5.0,0.6020984665052461,0.5894655042874933,0.6705882352941176
rot05,6,5.0,0.5980629539951574,0.5883070497255729,0.6676470588235294
rot05,7,5.0,0.6190476190476191,0.6138688380433515,0.6676470588235294
rot05,8,5.0,0.5883777239709443,0.5776093991334962,0.6852941176470588
rot05,9,5.0,0.612590799031477,0.6027894668713324,0.7029411764705882
rot05,10,5.0,0.6101694915254238,0.6017329620210178,0.6823529411764706
rot05,11,5.0,0.6077481840193705,0.6021976881283747,0.6794117647058824
rot05,12,5.0,0.5980629539951574,0.5918504312787717,0.6970588235294117
rot05,13,5.0,0.5924132364810331,0.58223216332062,0.6852941176470588
rot05,14,5.0,0.6230831315577078,0.6170698178567225,0.6882352941176471
rot05,15,5.0,0.5803066989507667,0.5757098985800186,0.6676470588235294
rot05,16,5.0,0.5891848264729621,0.5798825182086965,0.6647058823529411
rot05,17,5.0,0.6150121065375302,0.6016213293127258,0.6794117647058824
rot05,18,5.0,0.5875706214689266,0.5803404003316328,0.6676470588235294
rot05,19,5.0,0.6142050040355125,0.6034184005298312,0.6794117647058824
rot05,20,5.0,0.6053268765133172,0.5973511465849226,0.7
